Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-8f1r,Manipulation: Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Context,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: correct_answer,Spreadsheet: image,Spreadsheet: tag,Spreadsheet: layout_id,Spreadsheet: participant_group,Spreadsheet: condition_order,Spreadsheet: block_order,Spreadsheet: source_branch,Spreadsheet: source_commit,Spreadsheet: reference_notebook_path,Spreadsheet: palette_source_path,Spreadsheet: palette_copy_path,Spreadsheet: palette_type,Spreadsheet: dataset_source_path,Spreadsheet: dataset_sha256,Spreadsheet: background,Spreadsheet: condition,Spreadsheet: num_classes,Spreadsheet: difficulty_num,Spreadsheet: difficulty_label,Spreadsheet: scale_factor,Spreadsheet: colormap,Spreadsheet: trial_type,Spreadsheet: question,Spreadsheet: baseline_palette_seed,Spreadsheet: rendering_figsize,Spreadsheet: rendering_dpi,Spreadsheet: rendering_alpha,Spreadsheet: rendering_point_size,Spreadsheet: rendering_pad_ratio,Spreadsheet: objective_score,Spreadsheet: min_pairwise_dE,Spreadsheet: mean_pairwise_dE,Spreadsheet: min_background_dE,Spreadsheet: mean_background_dE,Spreadsheet: background_penalty,Spreadsheet: table_stop_reason,Spreadsheet: table_evals_used,Spreadsheet: optimization_rerun,Spreadsheet: constrained_method_used,Spreadsheet: trial_number,Spreadsheet: trial_id,Spreadsheet: side_schedule,Spreadsheet: image_left,Spreadsheet: image_right,Spreadsheet: optimized_side,Spreadsheet: baseline_image,Spreadsheet: optimized_image,Spreadsheet: response_option_left,Spreadsheet: response_option_right,Spreadsheet: preferred_side,Spreadsheet: selected_condition,Spreadsheet: optimized_selected,Spreadsheet: task1_source_branch,Spreadsheet: task1_source_commit,Spreadsheet: task1_reference_notebook_path,Spreadsheet: task2_reference_notebook_path,Spreadsheet: baseline_palette_source_path,Spreadsheet: optimized_palette_source_path,Spreadsheet: baseline_min_pairwise_dE,Spreadsheet: baseline_mean_pairwise_dE,Spreadsheet: baseline_min_bg_dE,Spreadsheet: baseline_mean_bg_dE,Spreadsheet: baseline_background_penalty,Spreadsheet: baseline_objective_score,Spreadsheet: optimized_min_pairwise_dE,Spreadsheet: optimized_mean_pairwise_dE,Spreadsheet: optimized_min_bg_dE,Spreadsheet: optimized_mean_bg_dE,Spreadsheet: optimized_background_penalty,Spreadsheet: optimized_objective_score,Spreadsheet: palette_regenerated,Spreadsheet: images_rerendered
11,1789992077000,21/09/2026 12:01:17,1789992077000,1,21/09/2026 13:01:17,275904,7,synthetic-disc-s3,,SYN-S3-S3_PRIV_001,S3P001,S3_PRIV_001,,complete,SYNTHETIC,S3_EXT_001,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task,SYNTHETIC,G_WB_OrigFirst,G_WB_OrigFirst,G_WB_OrigFirst,7,Display 1,Screen 1,,,response,30,,,,5587.7,,,5587.7,1,5587.7,,,,Answer_30,,,Display 1,30,disc_K30_D1_orig_white.png,,K30_D1,G_WB_OrigFirst,OriginalFirst,WhiteBlack,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,original,SYNTHETIC,SYNTHETIC,white,C1_original_distinctipy,30,1,easy,0.80,distinctipy_original,discrimination,How many distinct classes do you see?,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1789992084000,21/09/2026 12:01:24,1789992084000,1,21/09/2026 13:01:24,275904,7,synthetic-disc-s3,,SYN-S3-S3_PRIV_001,S3P001,S3_PRIV_001,,complete,SYNTHETIC,S3_EXT_001,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task,SYNTHETIC,G_WB_OrigFirst,G_WB_OrigFirst,G_WB_OrigFirst,8,Display 1,Screen 1,,,response,25,,,,8693.0,,,8693.0,0,8693.0,,,,Answer_25,,,Display 1,30,disc_K30_D2_orig_white.png,,K30_D2,G_WB_OrigFirst,OriginalFirst,WhiteBlack,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,original,SYNTHETIC,SYNTHETIC,white,C1_original_distinctipy,30,2,medium,1.00,distinctipy_original,discrimination,How many distinct classes do you see?,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1789992091000,21/09/2026 12:01:31,1789992091000,1,21/09/2026 13:01:31,275904,7,synthetic-disc-s3,,SYN-S3-S3_PRIV_001,S3P001,S3_PRIV_001,,complete,SYNTHETIC,S3_EXT_001,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task,SYNTHETIC,G_WB_OrigFirst,G_WB_OrigFirst,G_WB_OrigFirst,9,Display 1,Screen 1,,,response,25,,,,14259.5,,,14259.5,0,14259.5,,,,Answer_25,,,Display 1,30,disc_K30_D3_orig_white.png,,K30_D3,G_WB_OrigFirst,OriginalFirst,WhiteBlack,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,original,SYNTHETIC,SYNTHETIC,white,C1_original_distinctipy,30,3,hard,1.30,distinctipy_original,discrimination,How many distinct classes do you see?,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1789992098000,21/09/2026 12:01:38,1789992098000,1,21/09/2026 13:01:38,275904,7,synthetic-disc-s3,,SYN-S3-S3_PRIV_001,S3P001,S3_PRIV_001,,complete,SYNTHETIC,S3_EXT_001,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task,SYNTHETIC,G_WB_OrigFirst,G_WB_OrigFirst,G_WB_OrigFirst,10,Display 1,Screen 1,,,response,10,,,,7021.0,,,7021.0,1,7021.0,,,,Answer_10,,,Display 1,10,disc_K10_D1_opt_white.png,,K10_D1,G_WB_OrigFirst,OriginalFirst,WhiteBlack,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,optimized,SYNTHETIC,SYNTHETIC,white,C2_background_aware_optimized,10,1,easy,0.80,distinctipy_background_aware,discrimination,How many distinct classes do you see?,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1789992105000,21/09/2026 12:01:45,1789992105000,1,21/09/2026 13:01:45,275904,7,synthetic-disc-s3,,SYN-S3-S3_PRIV_001,S3P001,S3_PRIV_001,,complete,SYNTHETIC,S3_EXT_001,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task,SYNTHETIC,G_WB_OrigFirst,G_WB_OrigFirst,G_WB_OrigFirst,11,Display 1,Screen 1,,,response,10,,,,7507.1,,,7507.1,1,7507.1,,,,Answer_10,,,Display 1,10,disc_K10_D2_opt_white.png,,K10_D2,G_WB_OrigFirst,OriginalFirst,WhiteBlack,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,optimized,SYNTHETIC,SYNTHETIC,white,C2_background_aware_optimized,10,2,medium,1.00,distinctipy_background_aware,discrimination,How many distinct classes do you see?,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1789992112000,21/09/2026 12:01:52,1789992112000,1,21/09/2026 13:01:52,275904,7,synthetic-disc-s3,,SYN-S3-S3_PRIV_001,S3P001,S3_PRIV_001,,complete,SYNTHETIC,S3_EXT_001,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task,SYNTHETIC,G_WB_OrigFirst,G_WB_OrigFirst,G_WB_OrigFirst,12,Display 1,Screen 1,,,response,5,,,,4660.0,,,4660.0,0,4660.0,,,,Answer_5,,,Display 1,10,disc_K10_D3_opt_white.png,,K10_D3,G_WB_OrigFirst,OriginalFirst,WhiteBlack,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,optimized,SYNTHETIC,SYNTHETIC,white,C2_background_aware_optimized,10,3,hard,1.30,distinctipy_background_aware,discrimination,How many distinct classes do you see?,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1789992119000,21/09/2026 12:01:59,1789992119000,1,21/09/2026 13:01:59,275904,7,synthetic-disc-s3,,SYN-S3-S3_PRIV_001,S3P001,S3_PRIV_001,,complete,SYNTHETIC,S3_EXT_001,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task,SYNTHETIC,G_WB_OrigFirst,G_WB_OrigFirst,G_WB_OrigFirst,13,Display 1,Screen 1,,,response,25,,,,12963.0,,,12963.0,0,12963.0,,,,Answer_25,,,Display 1,20,disc_K20_D1_opt_white.png,,K20_D1,G_WB_OrigFirst,OriginalFirst,WhiteBlack,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,optimized,SYNTHETIC,SYNTHETIC,white,C2_background_aware_optimized,20,1,easy,0.80,distinctipy_background_aware,discrimination,How many distinct classes do you see?,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1789992126000,21/09/2026 12:02:06,1789992126000,1,21/09/2026 13:02:06,275904,7,synthetic-disc-s3,,SYN-S3-S3_PRIV_001,S3P001,S3_PRIV_001,,complete,SYNTHETIC,S3_EXT_001,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task,SYNTHETIC,G_WB_OrigFirst,G_WB_OrigFirst,G_WB_OrigFirst,14,Display 1,Screen 1,,,response,20,,,,6165.7,,,6165.7,1,6165.7,,,,Answer_20,,,Display 1,20,disc_K20_D2_opt_white.png,,K20_D2,G_WB_OrigFirst,OriginalFirst,WhiteBlack,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,optimized,SYNTHETIC,SYNTHETIC,white,C2_background_aware_optimized,20,2,medium,1.00,distinctipy_background_aware,discrimination,How many distinct classes do you see?,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1789992133000,21/09/2026 12:02:13,1789992133000,1,21/09/2026 13:02:13,275904,7,synthetic-disc-s3,,SYN-S3-S3_PRIV_001,S3P001,S3_PRIV_001,,complete,SYNTHETIC,S3_EXT_001,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task,SYNTHETIC,G_WB_OrigFirst,G_WB_OrigFirst,G_WB_OrigFirst,15,Display 1,Screen 1,,,response,20,,,,6414.6,,,6414.6,1,6414.6,,,,Answer_20,,,Display 1,20,disc_K20_D3_opt_white.png,,K20_D3,G_WB_OrigFirst,OriginalFirst,WhiteBlack,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,optimized,SYNTHETIC,SYNTHETIC,white,C2_background_aware_optimized,20,3,hard,1.30,distinctipy_background_aware,discrimination,How many distinct classes do you see?,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1789992140000,21/09/2026 12:02:20,1789992140000,1,21/09/2026 13:02:20,275904,7,synthetic-disc-s3,,SYN-S3-S3_PRIV_001,S3P001,S3_PRIV_001,,complete,SYNTHETIC,S3_EXT_001,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task,SYNTHETIC,G_WB_OrigFirst,G_WB_OrigFirst,G_WB_OrigFirst,16,Display 1,Screen 1,,,response,30,,,,4826.7,,,4826.7,1,4826.7,,,,Answer_30,,,Display 1,30,disc_K30_D1_opt_white.png,,K30_D1,G_WB_OrigFirst,OriginalFirst,WhiteBlack,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,optimized,SYNTHETIC,SYNTHETIC,white,C2_background_aware_optimized,30,1,easy,0.80,distinctipy_background_aware,discrimination,How many distinct classes do you see?,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1789992147000,21/09/2026 12:02:27,1789992147000,1,21/09/2026 13:02:27,275904,7,synthetic-disc-s3,,SYN-S3-S3_PRIV_001,S3P001,S3_PRIV_001,,complete,SYNTHETIC,S3_EXT_001,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task,SYNTHETIC,G_WB_OrigFirst,G_WB_OrigFirst,G_WB_OrigFirst,17,Display 1,Screen 1,,,response,30,,,,6971.4,,,6971.4,1,6971.4,,,,Answer_30,,,Display 1,30,disc_K30_D2_opt_white.png,,K30_D2,G_WB_OrigFirst,OriginalFirst,WhiteBlack,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,optimized,SYNTHETIC,SYNTHETIC,white,C2_background_aware_optimized,30,2,medium,1.00,distinctipy_background_aware,discrimination,How many distinct classes do you see?,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1789992154000,21/09/2026 12:02:34,1789992154000,1,21/09/2026 13:02:34,275904,7,synthetic-disc-s3,,SYN-S3-S3_PRIV_001,S3P001,S3_PRIV_001,,complete,SYNTHETIC,S3_EXT_001,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task,SYNTHETIC,G_WB_OrigFirst,G_WB_OrigFirst,G_WB_OrigFirst,18,Display 1,Screen 1,,,response,30,,,,8066.8,,,8066.8,1,8066.8,,,,Answer_30,,,Display 1,30,disc_K30_D3_opt_white.png,,K30_D3,G_WB_OrigFirst,OriginalFirst,WhiteBlack,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,optimized,SYNTHETIC,SYNTHETIC,white,C2_background_aware_optimized,30,3,hard,1.30,distinctipy_background_aware,discrimination,How many distinct classes do you see?,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1789992161000,21/09/2026 12:02:41,1789992161000,1,21/09/2026 13:02:41,275904,7,synthetic-disc-s3,,SYN-S3-S3_PRIV_001,S3P001,S3_PRIV_001,,complete,SYNTHETIC,S3_EXT_001,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task,SYNTHETIC,G_WB_OrigFirst,G_WB_OrigFirst,G_WB_OrigFirst,19,Display 1,Screen 1,,,response,10,,,,3838.0,,,3838.0,1,3838.0,,,,Answer_10,,,Display 1,10,disc_K10_D1_orig_black.png,,K10_D1,G_WB_OrigFirst,OriginalFirst,WhiteBlack,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,original,SYNTHETIC,SYNTHETIC,black,C1_original_distinctipy,10,1,easy,0.80,distinctipy_original,discrimination,How many distinct classes do you see?,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
