Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-6fcy,Manipulation: Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Context,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: trial_number,Spreadsheet: image_left,Spreadsheet: image_right,Spreadsheet: correct_answer,Spreadsheet: left_option,Spreadsheet: right_option,Spreadsheet: confidence_rating,Spreadsheet: optimized_side,Spreadsheet: preferred_side,Spreadsheet: image,Spreadsheet: tag,Spreadsheet: num_classes,Spreadsheet: colormap,Spreadsheet: variation,Spreadsheet: condition,Spreadsheet: trial_type,Spreadsheet: question
11,1789992077000,21/09/2026 12:01:17,1789992077000,1,21/09/2026 13:01:17,263105,5,synthetic-disc-s2,,SYN-S2-S2_PRIV_001,S2P001,S2_PRIV_001,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1 (Clone),SYNTHETIC,G1,Group1,Group1,7,Display 1,Screen 1,,,response,5,,,,2736.0,,,2736.0,1,2736.0,,,,Response,,,Display 1,,,,5,,,,,,disc_5_1_distinctipy.png,,5,distinctipy,1,baseline,discrimination,How many distinct classes do you see?
12,1789992084000,21/09/2026 12:01:24,1789992084000,1,21/09/2026 13:01:24,263105,5,synthetic-disc-s2,,SYN-S2-S2_PRIV_001,S2P001,S2_PRIV_001,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1 (Clone),SYNTHETIC,G1,Group1,Group1,8,Display 1,Screen 1,,,response,10,,,,5267.6,,,5267.6,0,5267.6,,,,Response,,,Display 1,,,,5,,,,,,disc_5_3_distinctipy.png,,5,distinctipy,3,baseline,discrimination,How many distinct classes do you see?
13,1789992091000,21/09/2026 12:01:31,1789992091000,1,21/09/2026 13:01:31,263105,5,synthetic-disc-s2,,SYN-S2-S2_PRIV_001,S2P001,S2_PRIV_001,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1 (Clone),SYNTHETIC,G1,Group1,Group1,9,Display 1,Screen 1,,,response,30,,,,13902.5,,,13902.5,1,13902.5,,,,Response,,,Display 1,,,,30,,,,,,disc_30_3_distinctipy.png,,30,distinctipy,3,baseline,discrimination,How many distinct classes do you see?
14,1789992098000,21/09/2026 12:01:38,1789992098000,1,21/09/2026 13:01:38,263105,5,synthetic-disc-s2,,SYN-S2-S2_PRIV_001,S2P001,S2_PRIV_001,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1 (Clone),SYNTHETIC,G1,Group1,Group1,10,Display 1,Screen 1,,,response,10,,,,3555.2,,,3555.2,1,3555.2,,,,Response,,,Display 1,,,,10,,,,,,disc_10_2_distinctipysa.png,,10,distinctipysa,2,sa,discrimination,How many distinct classes do you see?
15,1789992105000,21/09/2026 12:01:45,1789992105000,1,21/09/2026 13:01:45,263105,5,synthetic-disc-s2,,SYN-S2-S2_PRIV_001,S2P001,S2_PRIV_001,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1 (Clone),SYNTHETIC,G1,Group1,Group1,11,Display 1,Screen 1,,,response,10,,,,5258.7,,,5258.7,1,5258.7,,,,Response,,,Display 1,,,,10,,,,,,disc_10_3_distinctipysa.png,,10,distinctipysa,3,sa,discrimination,How many distinct classes do you see?
16,1789992112000,21/09/2026 12:01:52,1789992112000,1,21/09/2026 13:01:52,263105,5,synthetic-disc-s2,,SYN-S2-S2_PRIV_001,S2P001,S2_PRIV_001,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1 (Clone),SYNTHETIC,G1,Group1,Group1,12,Display 1,Screen 1,,,response,20,,,,3055.1,,,3055.1,1,3055.1,,,,Response,,,Display 1,,,,20,,,,,,disc_20_1_distinctipysa.png,,20,distinctipysa,1,sa,discrimination,How many distinct classes do you see?
17,1789992119000,21/09/2026 12:01:59,1789992119000,1,21/09/2026 13:01:59,263105,5,synthetic-disc-s2,,SYN-S2-S2_PRIV_001,S2P001,S2_PRIV_001,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1 (Clone),SYNTHETIC,G1,Group1,Group1,13,Display 1,Screen 1,,,response,5,,,,3263.7,,,3263.7,1,3263.7,,,,Response,,,Display 1,,,,5,,,,,,disc_5_3_distinctipysa.png,,5,distinctipysa,3,sa,discrimination,How many distinct classes do you see?
18,1789992126000,21/09/2026 12:02:06,1789992126000,1,21/09/2026 13:02:06,263105,5,synthetic-disc-s2,,SYN-S2-S2_PRIV_001,S2P001,S2_PRIV_001,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1 (Clone),SYNTHETIC,G1,Group1,Group1,14,Display 1,Screen 1,,,response,25,,,,8008.3,,,8008.3,0,8008.3,,,,Response,,,Display 1,,,,30,,,,,,disc_30_2_distinctipy.png,,30,distinctipy,2,baseline,discrimination,How many distinct classes do you see?
19,1789992133000,21/09/2026 12:02:13,1789992133000,1,21/09/2026 13:02:13,263105,5,synthetic-disc-s2,,SYN-S2-S2_PRIV_001,S2P001,S2_PRIV_001,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1 (Clone),SYNTHETIC,G1,Group1,Group1,15,Display 1,Screen 1,,,response,20,,,,4082.1,,,4082.1,1,4082.1,,,,Response,,,Display 1,,,,20,,,,,,disc_20_3_distinctipysa.png,,20,distinctipysa,3,sa,discrimination,How many distinct classes do you see?
20,1789992140000,21/09/2026 12:02:20,1789992140000,1,21/09/2026 13:02:20,263105,5,synthetic-disc-s2,,SYN-S2-S2_PRIV_001,S2P001,S2_PRIV_001,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1 (Clone),SYNTHETIC,G1,Group1,Group1,16,Display 1,Screen 1,,,response,10,,,,6292.1,,,6292.1,1,6292.1,,,,Response,,,Display 1,,,,10,,,,,,disc_10_1_distinctipy.png,,10,distinctipy,1,baseline,discrimination,How many distinct classes do you see?
21,1789992147000,21/09/2026 12:02:27,1789992147000,1,21/09/2026 13:02:27,263105,5,synthetic-disc-s2,,SYN-S2-S2_PRIV_001,S2P001,S2_PRIV_001,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1 (Clone),SYNTHETIC,G1,Group1,Group1,17,Display 1,Screen 1,,,response,30,,,,4804.6,,,4804.6,1,4804.6,,,,Response,,,Display 1,,,,30,,,,,,disc_30_1_distinctipy.png,,30,distinctipy,1,baseline,discrimination,How many distinct classes do you see?
22,1789992154000,21/09/2026 12:02:34,1789992154000,1,21/09/2026 13:02:34,263105,5,synthetic-disc-s2,,SYN-S2-S2_PRIV_001,S2P001,S2_PRIV_001,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1 (Clone),SYNTHETIC,G1,Group1,Group1,18,Display 1,Screen 1,,,response,10,,,,5007.6,,,5007.6,1,5007.6,,,,Response,,,Display 1,,,,10,,,,,,disc_10_3_distinctipy.png,,10,distinctipy,3,baseline,discrimination,How many distinct classes do you see?
23,1789992161000,21/09/2026 12:02:41,1789992161000,1,21/09/2026 13:02:41,263105,5,synthetic-disc-s2,,SYN-S2-S2_PRIV_001,S2P001,S2_PRIV_001,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1 (Clone),SYNTHETIC,G1,Group1,Group1,19,Display 1,Screen 1,,,response,10,,,,3641.0,,,3641.0,1,3641.0,,,,Response,,,Display 1,,,,10,,,,,,disc_10_2_distinctipy.png,,10,distinctipy,2,baseline,discrimination,How many distinct classes do you see?
24,1789992168000,21/09/2026 12:02:48,1789992168000,1,21/09/2026 13:02:48,263105,5,synthetic-disc-s2,,SYN-S2-S2_PRIV_001,S2P001,S2_PRIV_001,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1 (Clone),SYNTHETIC,G1,Group1,Group1,20,Display 1,Screen 1,,,response,5,,,,7493.8,,,7493.8,1,7493.8,,,,Response,,,Display 1,,,,5,,,,,,disc_5_1_distinctipysa.png,,5,distinctipysa,1,sa,discrimination,How many distinct classes do you see?
25,1789992175000,21/09/2026 12:02:55,1789992175000,1,21/09/2026 13:02:55,263105,5,synthetic-disc-s2,,SYN-S2-S2_PRIV_001,S2P001,S2_PRIV_001,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1 (Clone),SYNTHETIC,G1,Group1,Group1,21,Display 1,Screen 1,,,response,20,,,,5061.2,,,5061.2,1,5061.2,,,,Response,,,Display 1,,,,20,,,,,,disc_20_1_distinctipy.png,,20,distinctipy,1,baseline,discrimination,How many distinct classes do you see?
26,1789992182000,21/09/2026 12:03:02,1789992182000,1,21/09/2026 13:03:02,263105,5,synthetic-disc-s2,,SYN-S2-S2_PRIV_001,S2P001,S2_PRIV_001,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1 (Clone),SYNTHETIC,G1,Group1,Group1,22,Display 1,Screen 1,,,response,25,,,,6915.6,,,6915.6,0,6915.6,,,,Response,,,Display 1,,,,20,,,,,,disc_20_2_distinctipysa.png,,20,distinctipysa,2,sa,discrimination,How many distinct classes do you see?
27,1789992189000,21/09/2026 12:03:09,1789992189000,1,21/09/2026 13:03:09,263105,5,synthetic-disc-s2,,SYN-S2-S2_PRIV_001,S2P001,S2_PRIV_001,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1 (Clone),SYNTHETIC,G1,Group1,Group1,23,Display 1,Screen 1,,,response,30,,,,11778.2,,,11778.2,1,11778.2,,,,Response,,,Display 1,,,,30,,,,,,disc_30_3_distinctipysa.png,,30,distinctipysa,3,sa,discrimination,How many distinct classes do you see?
28,1789992196000,21/09/2026 12:03:16,1789992196000,1,21/09/2026 13:03:16,263105,5,synthetic-disc-s2,,SYN-S2-S2_PRIV_001,S2P001,S2_PRIV_001,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1 (Clone),SYNTHETIC,G1,Group1,Group1,24,Display 1,Screen 1,,,response,15,,,,9503.6,,,9503.6,0,9503.6,,,,Response,,,Display 1,,,,20,,,,,,disc_20_3_distinctipy.png,,20,distinctipy,3,baseline,discrimination,How many distinct classes do you see?
29,1789992203000,21/09/2026 12:03:23,1789992203000,1,21/09/2026 13:03:23,263105,5,synthetic-pair-s2,,SYN-S2-S2_PRIV_001,S2P001,S2_PRIV_001,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Pairwise Comparison Task2 (Clone),SYNTHETIC,G1,Pairwise Comparison,Pairwise Comparison,1,Display 1,Screen 1,,,response,optimized,,,,9095.6,,,9095.6,,9095.6,,,,Image Response,,,Display 1,1,compare_30_hard_optimized.png,compare_30_hard_baseline.png,NA,optimized,baseline,,Left,,,,,,,,,
30,1789992210000,21/09/2026 12:03:30,1789992210000,1,21/09/2026 13:03:30,263105,5,synthetic-pair-s2,,SYN-S2-S2_PRIV_001,S2P001,S2_PRIV_001,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Pairwise Comparison Task2 (Clone),SYNTHETIC,G1,Pairwise Comparison,Pairwise Comparison,2,Display 1,Screen 1,,,response,optimized,,,,2246.7,,,2246.7,,2246.7,,,,Image Response,,,Display 1,2,compare_30_easy_baseline.png,compare_30_easy_optimized.png,NA,baseline,optimized,,Right,,,,,,,,,
31,1789992217000,21/09/2026 12:03:37,1789992217000,1,21/09/2026 13:03:37,263105,5,synthetic-pair-s2,,SYN-S2-S2_PRIV_001,S2P001,S2_PRIV_001,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Pairwise Comparison Task2 (Clone),SYNTHETIC,G1,Pairwise Comparison,Pairwise Comparison,3,Display 1,Screen 1,,,response,baseline,,,,4326.5,,,4326.5,,4326.5,,,,Image Response,,,Display 1,3,compare_10_easy_optimized.png,compare_10_easy_baseline.png,NA,optimized,baseline,,Left,,,,,,,,,
32,1789992224000,21/09/2026 12:03:44,1789992224000,1,21/09/2026 13:03:44,263105,5,synthetic-pair-s2,,SYN-S2-S2_PRIV_001,S2P001,S2_PRIV_001,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Pairwise Comparison Task2 (Clone),SYNTHETIC,G1,Pairwise Comparison,Pairwise Comparison,4,Display 1,Screen 1,,,response,baseline,,,,4540.6,,,4540.6,,4540.6,,,,Image Response,,,Display 1,4,compare_5_easy_optimized.png,compare_5_easy_baseline.png,NA,optimized,baseline,,Left,,,,,,,,,
33,1789992231000,21/09/2026 12:03:51,1789992231000,1,21/09/2026 13:03:51,263105,5,synthetic-pair-s2,,SYN-S2-S2_PRIV_001,S2P001,S2_PRIV_001,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Pairwise Comparison Task2 (Clone),SYNTHETIC,G1,Pairwise Comparison,Pairwise Comparison,5,Display 1,Screen 1,,,response,baseline,,,,3777.6,,,3777.6,,3777.6,,,,Image Response,,,Display 1,5,compare_20_medium_optimized.png,compare_20_medium_baseline.png,NA,baseline,optimized,,Left,,,,,,,,,
34,1789992238000,21/09/2026 12:03:58,1789992238000,1,21/09/2026 13:03:58,263105,5,synthetic-pair-s2,,SYN-S2-S2_PRIV_001,S2P001,S2_PRIV_001,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Pairwise Comparison Task2 (Clone),SYNTHETIC,G1,Pairwise Comparison,Pairwise Comparison,6,Display 1,Screen 1,,,response,baseline,,,,3652.8,,,3652.8,,3652.8,,,,Image Response,,,Display 1,6,compare_5_hard_baseline.png,compare_5_hard_optimized.png,NA,optimized,baseline,,Right,,,,,,,,,
35,1789992245000,21/09/2026 12:04:05,1789992245000,1,21/09/2026 13:04:05,263105,5,synthetic-pair-s2,,SYN-S2-S2_PRIV_001,S2P001,S2_PRIV_001,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Pairwise Comparison Task2 (Clone),SYNTHETIC,G1,Pairwise Comparison,Pairwise Comparison,7,Display 1,Screen 1,,,response,baseline,,,,917.0,,,917.0,,917.0,,,,Image Response,,,Display 1,7,compare_10_medium_optimized.png,compare_10_medium_baseline.png,NA,baseline,optimized,,Left,,,,,,,,,
36,1789992252000,21/09/2026 12:04:12,1789992252000,1,21/09/2026 13:04:12,263105,5,synthetic-pair-s2,,SYN-S2-S2_PRIV_001,S2P001,S2_PRIV_001,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Pairwise Comparison Task2 (Clone),SYNTHETIC,G1,Pairwise Comparison,Pairwise Comparison,8,Display 1,Screen 1,,,response,baseline,,,,2265.5,,,2265.5,,2265.5,,,,Image Response,,,Display 1,8,compare_5_medium_optimized.png,compare_5_medium_baseline.png,NA,baseline,optimized,,Left,,,,,,,,,
37,1789992259000,21/09/2026 12:04:19,1789992259000,1,21/09/2026 13:04:19,263105,5,synthetic-pair-s2,,SYN-S2-S2_PRIV_001,S2P001,S2_PRIV_001,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Pairwise Comparison Task2 (Clone),SYNTHETIC,G1,Pairwise Comparison,Pairwise Comparison,9,Display 1,Screen 1,,,response,baseline,,,,2907.3,,,2907.3,,2907.3,,,,Image Response,,,Display 1,9,compare_20_easy_baseline.png,compare_20_easy_optimized.png,NA,optimized,baseline,,Right,,,,,,,,,
38,1789992266000,21/09/2026 12:04:26,1789992266000,1,21/09/2026 13:04:26,263105,5,synthetic-pair-s2,,SYN-S2-S2_PRIV_001,S2P001,S2_PRIV_001,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Pairwise Comparison Task2 (Clone),SYNTHETIC,G1,Pairwise Comparison,Pairwise Comparison,10,Display 1,Screen 1,,,response,baseline,,,,5532.0,,,5532.0,,5532.0,,,,Image Response,,,Display 1,10,compare_30_medium_baseline.png,compare_30_medium_optimized.png,NA,optimized,baseline,,Right,,,,,,,,,
39,1789992273000,21/09/2026 12:04:33,1789992273000,1,21/09/2026 13:04:33,263105,5,synthetic-pair-s2,,SYN-S2-S2_PRIV_001,S2P001,S2_PRIV_001,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Pairwise Comparison Task2 (Clone),SYNTHETIC,G1,Pairwise Comparison,Pairwise Comparison,11,Display 1,Screen 1,,,response,baseline,,,,6318.6,,,6318.6,,6318.6,,,,Image Response,,,Display 1,11,compare_20_hard_baseline.png,compare_20_hard_optimized.png,NA,baseline,optimized,,Right,,,,,,,,,
40,1789992280000,21/09/2026 12:04:40,1789992280000,1,21/09/2026 13:04:40,263105,5,synthetic-pair-s2,,SYN-S2-S2_PRIV_001,S2P001,S2_PRIV_001,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Pairwise Comparison Task2 (Clone),SYNTHETIC,G1,Pairwise Comparison,Pairwise Comparison,12,Display 1,Screen 1,,,response,optimized,,,,6730.4,,,6730.4,,6730.4,,,,Image Response,,,Display 1,12,compare_10_hard_optimized.png,compare_10_hard_baseline.png,NA,baseline,optimized,,Left,,,,,,,,,
41,1789992287000,21/09/2026 12:04:47,1789992287000,1,21/09/2026 13:04:47,263105,5,synthetic-vision-s2,,SYN-S2-S2_PRIV_002,S2P002,S2_PRIV_002,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Vision Check,SYNTHETIC,G1,spreadsheet,spreadsheet,1,Display 1,Screen 1,,,response,12,,,,4095.4,,,4095.4,1,4095.4,,,,Number Entry,,,Display 1,,,,12,,,,,,12,Q1_answer,,,,,,
42,1789992294000,21/09/2026 12:04:54,1789992294000,1,21/09/2026 13:04:54,263105,5,synthetic-vision-s2,,SYN-S2-S2_PRIV_002,S2P002,S2_PRIV_002,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Vision Check,SYNTHETIC,G1,spreadsheet,spreadsheet,1,Display 2,Screen 1,,,response,16,,,,2182.9,,,2182.9,1,2182.9,,,,Number Entry,,,Display 2,,,,16,,,,,,16,Q2_answer,,,,,,
43,1789992301000,21/09/2026 12:05:01,1789992301000,1,21/09/2026 13:05:01,263105,5,synthetic-vision-s2,,SYN-S2-S2_PRIV_002,S2P002,S2_PRIV_002,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Vision Check,SYNTHETIC,G1,spreadsheet,spreadsheet,1,Display 3,Screen 1,,,response,29,,,,4261.8,,,4261.8,1,4261.8,,,,Number Entry,,,Display 3,,,,29,,,,,,29,Q3_answer,,,,,,
