Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-m119,Manipulation: Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Context,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: correct_answer,Spreadsheet: image,Spreadsheet: tag
11,1789992077000,21/09/2026 12:01:17,1789992077000,1,21/09/2026 13:01:17,229051,38,synthetic-vision,,SYN-S1-S1_PRIV_003,BLINDED,S1_PRIV_003,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Vision Check,SYNTHETIC,G1,spreadsheet,spreadsheet,1,Display 3,Screen 1,,,response,29,,,,2911.4,,,2911.4,1,2911.4,,,,,,,Display 3,29,29,Q3_answer
12,1789992084000,21/09/2026 12:01:24,1789992084000,1,21/09/2026 13:01:24,229051,38,synthetic-vision,,SYN-S1-S1_PRIV_003,BLINDED,S1_PRIV_003,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Vision Check,SYNTHETIC,G1,spreadsheet,spreadsheet,1,Display 4,Screen 1,,,response,26,,,,2361.9,,,2361.9,1,2361.9,,,,,,,Display 4,26,26,Q4_answer
13,1789992091000,21/09/2026 12:01:31,1789992091000,1,21/09/2026 13:01:31,229051,38,synthetic-vision,,SYN-S1-S1_PRIV_004,BLINDED,S1_PRIV_004,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Vision Check,SYNTHETIC,G1,spreadsheet,spreadsheet,1,Display 1,Screen 1,,,response,12,,,,2170.2,,,2170.2,1,2170.2,,,,,,,Display 1,12,12,Q1_answer
14,1789992098000,21/09/2026 12:01:38,1789992098000,1,21/09/2026 13:01:38,229051,38,synthetic-vision,,SYN-S1-S1_PRIV_004,BLINDED,S1_PRIV_004,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Vision Check,SYNTHETIC,G1,spreadsheet,spreadsheet,1,Display 2,Screen 1,,,response,16,,,,2958.1,,,2958.1,1,2958.1,,,,,,,Display 2,16,16,Q2_answer
15,1789992105000,21/09/2026 12:01:45,1789992105000,1,21/09/2026 13:01:45,229051,38,synthetic-vision,,SYN-S1-S1_PRIV_004,BLINDED,S1_PRIV_004,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Vision Check,SYNTHETIC,G1,spreadsheet,spreadsheet,1,Display 3,Screen 1,,,response,29,,,,6360.2,,,6360.2,1,6360.2,,,,,,,Display 3,29,29,Q3_answer
16,1789992112000,21/09/2026 12:01:52,1789992112000,1,21/09/2026 13:01:52,229051,38,synthetic-vision,,SYN-S1-S1_PRIV_004,BLINDED,S1_PRIV_004,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Vision Check,SYNTHETIC,G1,spreadsheet,spreadsheet,1,Display 4,Screen 1,,,response,26,,,,3450.2,,,3450.2,1,3450.2,,,,,,,Display 4,26,26,Q4_answer
17,1789992119000,21/09/2026 12:01:59,1789992119000,1,21/09/2026 13:01:59,229051,38,synthetic-vision,,SYN-S1-S1_PRIV_005,BLINDED,S1_PRIV_005,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Vision Check,SYNTHETIC,G1,spreadsheet,spreadsheet,1,Display 1,Screen 1,,,response,12,,,,2953.6,,,2953.6,1,2953.6,,,,,,,Display 1,12,12,Q1_answer
18,1789992126000,21/09/2026 12:02:06,1789992126000,1,21/09/2026 13:02:06,229051,38,synthetic-vision,,SYN-S1-S1_PRIV_005,BLINDED,S1_PRIV_005,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Vision Check,SYNTHETIC,G1,spreadsheet,spreadsheet,1,Display 2,Screen 1,,,response,16,,,,1682.3,,,1682.3,1,1682.3,,,,,,,Display 2,16,16,Q2_answer
19,1789992133000,21/09/2026 12:02:13,1789992133000,1,21/09/2026 13:02:13,229051,38,synthetic-vision,,SYN-S1-S1_PRIV_005,BLINDED,S1_PRIV_005,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Vision Check,SYNTHETIC,G1,spreadsheet,spreadsheet,1,Display 3,Screen 1,,,response,29,,,,1660.8,,,1660.8,1,1660.8,,,,,,,Display 3,29,29,Q3_answer
20,1789992140000,21/09/2026 12:02:20,1789992140000,1,21/09/2026 13:02:20,229051,38,synthetic-vision,,SYN-S1-S1_PRIV_005,BLINDED,S1_PRIV_005,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Vision Check,SYNTHETIC,G1,spreadsheet,spreadsheet,1,Display 4,Screen 1,,,response,26,,,,3757.9,,,3757.9,1,3757.9,,,,,,,Display 4,26,26,Q4_answer
21,1789992147000,21/09/2026 12:02:27,1789992147000,1,21/09/2026 13:02:27,229051,38,synthetic-vision,,SYN-S1-S1_PRIV_006,BLINDED,S1_PRIV_006,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Vision Check,SYNTHETIC,G1,spreadsheet,spreadsheet,1,Display 1,Screen 1,,,response,12,,,,3668.2,,,3668.2,1,3668.2,,,,,,,Display 1,12,12,Q1_answer
22,1789992154000,21/09/2026 12:02:34,1789992154000,1,21/09/2026 13:02:34,229051,38,synthetic-vision,,SYN-S1-S1_PRIV_006,BLINDED,S1_PRIV_006,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Vision Check,SYNTHETIC,G1,spreadsheet,spreadsheet,1,Display 2,Screen 1,,,response,16,,,,2545.3,,,2545.3,1,2545.3,,,,,,,Display 2,16,16,Q2_answer
23,1789992161000,21/09/2026 12:02:41,1789992161000,1,21/09/2026 13:02:41,229051,38,synthetic-vision,,SYN-S1-S1_PRIV_006,BLINDED,S1_PRIV_006,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Vision Check,SYNTHETIC,G1,spreadsheet,spreadsheet,1,Display 3,Screen 1,,,response,29,,,,3609.8,,,3609.8,1,3609.8,,,,,,,Display 3,29,29,Q3_answer
24,1789992168000,21/09/2026 12:02:48,1789992168000,1,21/09/2026 13:02:48,229051,38,synthetic-vision,,SYN-S1-S1_PRIV_006,BLINDED,S1_PRIV_006,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Vision Check,SYNTHETIC,G1,spreadsheet,spreadsheet,1,Display 4,Screen 1,,,response,26,,,,2792.6,,,2792.6,1,2792.6,,,,,,,Display 4,26,26,Q4_answer
25,1789992175000,21/09/2026 12:02:55,1789992175000,1,21/09/2026 13:02:55,229051,38,synthetic-vision,,SYN-S1-S1_PRIV_007,BLINDED,S1_PRIV_007,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Vision Check,SYNTHETIC,G1,spreadsheet,spreadsheet,1,Display 1,Screen 1,,,response,12,,,,1999.5,,,1999.5,1,1999.5,,,,,,,Display 1,12,12,Q1_answer
26,1789992182000,21/09/2026 12:03:02,1789992182000,1,21/09/2026 13:03:02,229051,38,synthetic-vision,,SYN-S1-S1_PRIV_007,BLINDED,S1_PRIV_007,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Vision Check,SYNTHETIC,G1,spreadsheet,spreadsheet,1,Display 2,Screen 1,,,response,16,,,,4205.0,,,4205.0,1,4205.0,,,,,,,Display 2,16,16,Q2_answer
27,1789992189000,21/09/2026 12:03:09,1789992189000,1,21/09/2026 13:03:09,229051,38,synthetic-vision,,SYN-S1-S1_PRIV_007,BLINDED,S1_PRIV_007,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Vision Check,SYNTHETIC,G1,spreadsheet,spreadsheet,1,Display 3,Screen 1,,,response,29,,,,1571.6,,,1571.6,1,1571.6,,,,,,,Display 3,29,29,Q3_answer
28,1789992196000,21/09/2026 12:03:16,1789992196000,1,21/09/2026 13:03:16,229051,38,synthetic-vision,,SYN-S1-S1_PRIV_007,BLINDED,S1_PRIV_007,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Vision Check,SYNTHETIC,G1,spreadsheet,spreadsheet,1,Display 4,Screen 1,,,response,26,,,,3119.7,,,3119.7,1,3119.7,,,,,,,Display 4,26,26,Q4_answer
29,1789992203000,21/09/2026 12:03:23,1789992203000,1,21/09/2026 13:03:23,229051,38,synthetic-vision,,SYN-S1-S1_PRIV_008,BLINDED,S1_PRIV_008,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Vision Check,SYNTHETIC,G1,spreadsheet,spreadsheet,1,Display 1,Screen 1,,,response,12,,,,1434.0,,,1434.0,1,1434.0,,,,,,,Display 1,12,12,Q1_answer
30,1789992210000,21/09/2026 12:03:30,1789992210000,1,21/09/2026 13:03:30,229051,38,synthetic-vision,,SYN-S1-S1_PRIV_008,BLINDED,S1_PRIV_008,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Vision Check,SYNTHETIC,G1,spreadsheet,spreadsheet,1,Display 2,Screen 1,,,response,16,,,,1740.2,,,1740.2,1,1740.2,,,,,,,Display 2,16,16,Q2_answer
31,1789992217000,21/09/2026 12:03:37,1789992217000,1,21/09/2026 13:03:37,229051,38,synthetic-vision,,SYN-S1-S1_PRIV_008,BLINDED,S1_PRIV_008,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Vision Check,SYNTHETIC,G1,spreadsheet,spreadsheet,1,Display 3,Screen 1,,,response,29,,,,3280.6,,,3280.6,1,3280.6,,,,,,,Display 3,29,29,Q3_answer
32,1789992224000,21/09/2026 12:03:44,1789992224000,1,21/09/2026 13:03:44,229051,38,synthetic-vision,,SYN-S1-S1_PRIV_008,BLINDED,S1_PRIV_008,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Vision Check,SYNTHETIC,G1,spreadsheet,spreadsheet,1,Display 4,Screen 1,,,response,26,,,,3813.4,,,3813.4,1,3813.4,,,,,,,Display 4,26,26,Q4_answer
33,1789992231000,21/09/2026 12:03:51,1789992231000,1,21/09/2026 13:03:51,229051,38,synthetic-vision,,SYN-S1-S1_PRIV_009,BLINDED,S1_PRIV_009,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Vision Check,SYNTHETIC,G1,spreadsheet,spreadsheet,1,Display 1,Screen 1,,,response,12,,,,2046.1,,,2046.1,1,2046.1,,,,,,,Display 1,12,12,Q1_answer
34,1789992238000,21/09/2026 12:03:58,1789992238000,1,21/09/2026 13:03:58,229051,38,synthetic-vision,,SYN-S1-S1_PRIV_009,BLINDED,S1_PRIV_009,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Vision Check,SYNTHETIC,G1,spreadsheet,spreadsheet,1,Display 2,Screen 1,,,response,16,,,,3093.0,,,3093.0,1,3093.0,,,,,,,Display 2,16,16,Q2_answer
35,1789992245000,21/09/2026 12:04:05,1789992245000,1,21/09/2026 13:04:05,229051,38,synthetic-vision,,SYN-S1-S1_PRIV_009,BLINDED,S1_PRIV_009,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Vision Check,SYNTHETIC,G1,spreadsheet,spreadsheet,1,Display 3,Screen 1,,,response,29,,,,3695.9,,,3695.9,1,3695.9,,,,,,,Display 3,29,29,Q3_answer
36,1789992252000,21/09/2026 12:04:12,1789992252000,1,21/09/2026 13:04:12,229051,38,synthetic-vision,,SYN-S1-S1_PRIV_009,BLINDED,S1_PRIV_009,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Vision Check,SYNTHETIC,G1,spreadsheet,spreadsheet,1,Display 4,Screen 1,,,response,26,,,,6906.2,,,6906.2,1,6906.2,,,,,,,Display 4,26,26,Q4_answer
37,1789992259000,21/09/2026 12:04:19,1789992259000,1,21/09/2026 13:04:19,229051,38,synthetic-vision,,SYN-S1-S1_PRIV_010,BLINDED,S1_PRIV_010,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Vision Check,SYNTHETIC,G1,spreadsheet,spreadsheet,1,Display 1,Screen 1,,,response,12,,,,1696.8,,,1696.8,1,1696.8,,,,,,,Display 1,12,12,Q1_answer
38,1789992266000,21/09/2026 12:04:26,1789992266000,1,21/09/2026 13:04:26,229051,38,synthetic-vision,,SYN-S1-S1_PRIV_010,BLINDED,S1_PRIV_010,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Vision Check,SYNTHETIC,G1,spreadsheet,spreadsheet,1,Display 2,Screen 1,,,response,16,,,,1338.2,,,1338.2,1,1338.2,,,,,,,Display 2,16,16,Q2_answer
39,1789992273000,21/09/2026 12:04:33,1789992273000,1,21/09/2026 13:04:33,229051,38,synthetic-vision,,SYN-S1-S1_PRIV_010,BLINDED,S1_PRIV_010,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Vision Check,SYNTHETIC,G1,spreadsheet,spreadsheet,1,Display 3,Screen 1,,,response,29,,,,1253.9,,,1253.9,1,1253.9,,,,,,,Display 3,29,29,Q3_answer
40,1789992280000,21/09/2026 12:04:40,1789992280000,1,21/09/2026 13:04:40,229051,38,synthetic-vision,,SYN-S1-S1_PRIV_010,BLINDED,S1_PRIV_010,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Vision Check,SYNTHETIC,G1,spreadsheet,spreadsheet,1,Display 4,Screen 1,,,response,26,,,,2891.7,,,2891.7,1,2891.7,,,,,,,Display 4,26,26,Q4_answer
41,1789992287000,21/09/2026 12:04:47,1789992287000,1,21/09/2026 13:04:47,229051,38,synthetic-vision,,SYN-S1-S1_PRIV_011,BLINDED,S1_PRIV_011,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Vision Check,SYNTHETIC,G1,spreadsheet,spreadsheet,1,Display 1,Screen 1,,,response,12,,,,5511.4,,,5511.4,1,5511.4,,,,,,,Display 1,12,12,Q1_answer
42,1789992294000,21/09/2026 12:04:54,1789992294000,1,21/09/2026 13:04:54,229051,38,synthetic-vision,,SYN-S1-S1_PRIV_011,BLINDED,S1_PRIV_011,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Vision Check,SYNTHETIC,G1,spreadsheet,spreadsheet,1,Display 2,Screen 1,,,response,16,,,,2696.4,,,2696.4,1,2696.4,,,,,,,Display 2,16,16,Q2_answer
43,1789992301000,21/09/2026 12:05:01,1789992301000,1,21/09/2026 13:05:01,229051,38,synthetic-vision,,SYN-S1-S1_PRIV_011,BLINDED,S1_PRIV_011,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Vision Check,SYNTHETIC,G1,spreadsheet,spreadsheet,1,Display 3,Screen 1,,,response,29,,,,3025.2,,,3025.2,1,3025.2,,,,,,,Display 3,29,29,Q3_answer
44,1789992308000,21/09/2026 12:05:08,1789992308000,1,21/09/2026 13:05:08,229051,38,synthetic-vision,,SYN-S1-S1_PRIV_011,BLINDED,S1_PRIV_011,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Vision Check,SYNTHETIC,G1,spreadsheet,spreadsheet,1,Display 4,Screen 1,,,response,26,,,,2351.5,,,2351.5,1,2351.5,,,,,,,Display 4,26,26,Q4_answer
45,1789992315000,21/09/2026 12:05:15,1789992315000,1,21/09/2026 13:05:15,229051,38,synthetic-vision,,SYN-S1-S1_PRIV_012,BLINDED,S1_PRIV_012,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Vision Check,SYNTHETIC,G1,spreadsheet,spreadsheet,1,Display 1,Screen 1,,,response,12,,,,4227.0,,,4227.0,1,4227.0,,,,,,,Display 1,12,12,Q1_answer
46,1789992322000,21/09/2026 12:05:22,1789992322000,1,21/09/2026 13:05:22,229051,38,synthetic-vision,,SYN-S1-S1_PRIV_012,BLINDED,S1_PRIV_012,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Vision Check,SYNTHETIC,G1,spreadsheet,spreadsheet,1,Display 2,Screen 1,,,response,16,,,,2378.0,,,2378.0,1,2378.0,,,,,,,Display 2,16,16,Q2_answer
47,1789992329000,21/09/2026 12:05:29,1789992329000,1,21/09/2026 13:05:29,229051,38,synthetic-vision,,SYN-S1-S1_PRIV_012,BLINDED,S1_PRIV_012,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Vision Check,SYNTHETIC,G1,spreadsheet,spreadsheet,1,Display 3,Screen 1,,,response,29,,,,2783.0,,,2783.0,1,2783.0,,,,,,,Display 3,29,29,Q3_answer
48,1789992336000,21/09/2026 12:05:36,1789992336000,1,21/09/2026 13:05:36,229051,38,synthetic-vision,,SYN-S1-S1_PRIV_012,BLINDED,S1_PRIV_012,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Vision Check,SYNTHETIC,G1,spreadsheet,spreadsheet,1,Display 4,Screen 1,,,response,26,,,,3922.0,,,3922.0,1,3922.0,,,,,,,Display 4,26,26,Q4_answer
49,1789992343000,21/09/2026 12:05:43,1789992343000,1,21/09/2026 13:05:43,229051,38,synthetic-vision,,SYN-S1-S1_PRIV_013,BLINDED,S1_PRIV_013,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Vision Check,SYNTHETIC,G1,spreadsheet,spreadsheet,1,Display 1,Screen 1,,,response,12,,,,2801.1,,,2801.1,1,2801.1,,,,,,,Display 1,12,12,Q1_answer
50,1789992350000,21/09/2026 12:05:50,1789992350000,1,21/09/2026 13:05:50,229051,38,synthetic-vision,,SYN-S1-S1_PRIV_013,BLINDED,S1_PRIV_013,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Vision Check,SYNTHETIC,G1,spreadsheet,spreadsheet,1,Display 2,Screen 1,,,response,16,,,,5222.0,,,5222.0,1,5222.0,,,,,,,Display 2,16,16,Q2_answer
51,1789992357000,21/09/2026 12:05:57,1789992357000,1,21/09/2026 13:05:57,229051,38,synthetic-vision,,SYN-S1-S1_PRIV_013,BLINDED,S1_PRIV_013,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Vision Check,SYNTHETIC,G1,spreadsheet,spreadsheet,1,Display 3,Screen 1,,,response,29,,,,2118.8,,,2118.8,1,2118.8,,,,,,,Display 3,29,29,Q3_answer
52,1789992364000,21/09/2026 12:06:04,1789992364000,1,21/09/2026 13:06:04,229051,38,synthetic-vision,,SYN-S1-S1_PRIV_013,BLINDED,S1_PRIV_013,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Vision Check,SYNTHETIC,G1,spreadsheet,spreadsheet,1,Display 4,Screen 1,,,response,26,,,,1605.0,,,1605.0,1,1605.0,,,,,,,Display 4,26,26,Q4_answer
53,1789992371000,21/09/2026 12:06:11,1789992371000,1,21/09/2026 13:06:11,229051,38,synthetic-vision,,SYN-S1-S1_PRIV_014,BLINDED,S1_PRIV_014,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Vision Check,SYNTHETIC,G1,spreadsheet,spreadsheet,1,Display 1,Screen 1,,,response,12,,,,2429.5,,,2429.5,1,2429.5,,,,,,,Display 1,12,12,Q1_answer
