Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-m119,Manipulation: Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Context,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: image,Spreadsheet: num_classes,Spreadsheet: colormap,Spreadsheet: variation,Spreadsheet: condition,Spreadsheet: trial_type,Spreadsheet: question,Spreadsheet: correct_answer,Spreadsheet: group_number
11,1789992077000,21/09/2026 12:01:17,1789992077000,1,21/09/2026 13:01:17,229051,38,synthetic-g1,,SYN-S1-S1_PRIV_001,S1PUB001,S1_PRIV_001,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1,SYNTHETIC,G1,G1,G1,11,Display 1,Screen 1,,,response,20,,,,6452.5,,,6452.5,1,6452.5,,,,Response,,,Display1,disc_20_3_tab20.png,20,tab20,3,baseline,discrimination,How many distinct classes do you see?,20,1
12,1789992084000,21/09/2026 12:01:24,1789992084000,1,21/09/2026 13:01:24,229051,38,synthetic-g1,,SYN-S1-S1_PRIV_001,S1PUB001,S1_PRIV_001,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1,SYNTHETIC,G1,G1,G1,12,Display 1,Screen 1,,,response,30,,,,8298.4,,,8298.4,1,8298.4,,,,Response,,,Display1,disc_30_2_tab20sa.png,30,tab20sa,2,sa,discrimination,How many distinct classes do you see?,30,1
13,1789992091000,21/09/2026 12:01:31,1789992091000,1,21/09/2026 13:01:31,229051,38,synthetic-g1,,SYN-S1-S1_PRIV_001,S1PUB001,S1_PRIV_001,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1,SYNTHETIC,G1,G1,G1,13,Display 1,Screen 1,,,response,10,,,,4038.8,,,4038.8,1,4038.8,,,,Response,,,Display1,disc_10_2_tab20.png,10,tab20,2,baseline,discrimination,How many distinct classes do you see?,10,1
14,1789992098000,21/09/2026 12:01:38,1789992098000,1,21/09/2026 13:01:38,229051,38,synthetic-g1,,SYN-S1-S1_PRIV_001,S1PUB001,S1_PRIV_001,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1,SYNTHETIC,G1,G1,G1,14,Display 1,Screen 1,,,response,5,,,,2258.5,,,2258.5,1,2258.5,,,,Response,,,Display1,disc_5_1_tab20.png,5,tab20,1,baseline,discrimination,How many distinct classes do you see?,5,1
15,1789992105000,21/09/2026 12:01:45,1789992105000,1,21/09/2026 13:01:45,229051,38,synthetic-g1,,SYN-S1-S1_PRIV_001,S1PUB001,S1_PRIV_001,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1,SYNTHETIC,G1,G1,G1,15,Display 1,Screen 1,,,response,15,,,,6456.6,,,6456.6,0,6456.6,,,,Response,,,Display1,disc_20_1_tab20sa.png,20,tab20sa,1,sa,discrimination,How many distinct classes do you see?,20,1
16,1789992112000,21/09/2026 12:01:52,1789992112000,1,21/09/2026 13:01:52,229051,38,synthetic-g1,,SYN-S1-S1_PRIV_001,S1PUB001,S1_PRIV_001,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1,SYNTHETIC,G1,G1,G1,16,Display 1,Screen 1,,,response,30,,,,12664.5,,,12664.5,1,12664.5,,,,Response,,,Display1,disc_30_3_tab20sa.png,30,tab20sa,3,sa,discrimination,How many distinct classes do you see?,30,1
17,1789992119000,21/09/2026 12:01:59,1789992119000,1,21/09/2026 13:01:59,229051,38,synthetic-g1,,SYN-S1-S1_PRIV_001,S1PUB001,S1_PRIV_001,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1,SYNTHETIC,G1,G1,G1,17,Display 1,Screen 1,,,response,20,,,,9244.7,,,9244.7,1,9244.7,,,,Response,,,Display1,disc_20_1_tab20.png,20,tab20,1,baseline,discrimination,How many distinct classes do you see?,20,1
18,1789992126000,21/09/2026 12:02:06,1789992126000,1,21/09/2026 13:02:06,229051,38,synthetic-g1,,SYN-S1-S1_PRIV_001,S1PUB001,S1_PRIV_001,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1,SYNTHETIC,G1,G1,G1,18,Display 1,Screen 1,,,response,25,,,,5893.4,,,5893.4,0,5893.4,,,,Response,,,Display1,disc_30_2_tab20.png,30,tab20,2,baseline,discrimination,How many distinct classes do you see?,30,1
19,1789992133000,21/09/2026 12:02:13,1789992133000,1,21/09/2026 13:02:13,229051,38,synthetic-g1,,SYN-S1-S1_PRIV_001,S1PUB001,S1_PRIV_001,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1,SYNTHETIC,G1,G1,G1,19,Display 1,Screen 1,,,response,10,,,,6044.7,,,6044.7,1,6044.7,,,,Response,,,Display1,disc_10_2_tab20sa.png,10,tab20sa,2,sa,discrimination,How many distinct classes do you see?,10,1
20,1789992140000,21/09/2026 12:02:20,1789992140000,1,21/09/2026 13:02:20,229051,38,synthetic-g1,,SYN-S1-S1_PRIV_001,S1PUB001,S1_PRIV_001,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1,SYNTHETIC,G1,G1,G1,20,Display 1,Screen 1,,,response,10,,,,5646.3,,,5646.3,1,5646.3,,,,Response,,,Display1,disc_10_3_tab20sa.png,10,tab20sa,3,sa,discrimination,How many distinct classes do you see?,10,1
21,1789992147000,21/09/2026 12:02:27,1789992147000,1,21/09/2026 13:02:27,229051,38,synthetic-g1,,SYN-S1-S1_PRIV_001,S1PUB001,S1_PRIV_001,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1,SYNTHETIC,G1,G1,G1,21,Display 1,Screen 1,,,response,5,,,,3269.5,,,3269.5,1,3269.5,,,,Response,,,Display1,disc_5_2_tab20.png,5,tab20,2,baseline,discrimination,How many distinct classes do you see?,5,1
22,1789992154000,21/09/2026 12:02:34,1789992154000,1,21/09/2026 13:02:34,229051,38,synthetic-g1,,SYN-S1-S1_PRIV_001,S1PUB001,S1_PRIV_001,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1,SYNTHETIC,G1,G1,G1,22,Display 1,Screen 1,,,response,25,,,,8809.4,,,8809.4,0,8809.4,,,,Response,,,Display1,disc_30_3_tab20.png,30,tab20,3,baseline,discrimination,How many distinct classes do you see?,30,1
23,1789992161000,21/09/2026 12:02:41,1789992161000,1,21/09/2026 13:02:41,229051,38,synthetic-g1,,SYN-S1-S1_PRIV_001,S1PUB001,S1_PRIV_001,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1,SYNTHETIC,G1,G1,G1,23,Display 1,Screen 1,,,response,10,,,,6912.1,,,6912.1,1,6912.1,,,,Response,,,Display1,disc_10_3_tab20.png,10,tab20,3,baseline,discrimination,How many distinct classes do you see?,10,1
24,1789992168000,21/09/2026 12:02:48,1789992168000,1,21/09/2026 13:02:48,229051,38,synthetic-g1,,SYN-S1-S1_PRIV_001,S1PUB001,S1_PRIV_001,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1,SYNTHETIC,G1,G1,G1,24,Display 1,Screen 1,,,response,10,,,,5632.5,,,5632.5,1,5632.5,,,,Response,,,Display1,disc_10_1_tab20.png,10,tab20,1,baseline,discrimination,How many distinct classes do you see?,10,1
25,1789992175000,21/09/2026 12:02:55,1789992175000,1,21/09/2026 13:02:55,229051,38,synthetic-g1,,SYN-S1-S1_PRIV_002,S1PUB002,S1_PRIV_002,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1,SYNTHETIC,G1,G1,G1,1,Display 1,Screen 1,,,response,5,,,,5119.7,,,5119.7,1,5119.7,,,,Response,,,Display1,disc_5_1_tab20sa.png,5,tab20sa,1,sa,discrimination,How many distinct classes do you see?,5,1
26,1789992182000,21/09/2026 12:03:02,1789992182000,1,21/09/2026 13:03:02,229051,38,synthetic-g1,,SYN-S1-S1_PRIV_002,S1PUB002,S1_PRIV_002,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1,SYNTHETIC,G1,G1,G1,2,Display 1,Screen 1,,,response,30,,,,8391.3,,,8391.3,1,8391.3,,,,Response,,,Display1,disc_30_1_tab20sa.png,30,tab20sa,1,sa,discrimination,How many distinct classes do you see?,30,1
27,1789992189000,21/09/2026 12:03:09,1789992189000,1,21/09/2026 13:03:09,229051,38,synthetic-g1,,SYN-S1-S1_PRIV_002,S1PUB002,S1_PRIV_002,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1,SYNTHETIC,G1,G1,G1,3,Display 1,Screen 1,,,response,10,,,,3897.1,,,3897.1,1,3897.1,,,,Response,,,Display1,disc_10_2_tab20.png,10,tab20,2,baseline,discrimination,How many distinct classes do you see?,10,1
28,1789992196000,21/09/2026 12:03:16,1789992196000,1,21/09/2026 13:03:16,229051,38,synthetic-g1,,SYN-S1-S1_PRIV_002,S1PUB002,S1_PRIV_002,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1,SYNTHETIC,G1,G1,G1,4,Display 1,Screen 1,,,response,20,,,,6718.9,,,6718.9,1,6718.9,,,,Response,,,Display1,disc_20_2_tab20sa.png,20,tab20sa,2,sa,discrimination,How many distinct classes do you see?,20,1
29,1789992203000,21/09/2026 12:03:23,1789992203000,1,21/09/2026 13:03:23,229051,38,synthetic-g1,,SYN-S1-S1_PRIV_002,S1PUB002,S1_PRIV_002,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1,SYNTHETIC,G1,G1,G1,5,Display 1,Screen 1,,,response,5,,,,5284.4,,,5284.4,1,5284.4,,,,Response,,,Display1,disc_5_1_tab20.png,5,tab20,1,baseline,discrimination,How many distinct classes do you see?,5,1
30,1789992210000,21/09/2026 12:03:30,1789992210000,1,21/09/2026 13:03:30,229051,38,synthetic-g1,,SYN-S1-S1_PRIV_002,S1PUB002,S1_PRIV_002,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1,SYNTHETIC,G1,G1,G1,6,Display 1,Screen 1,,,response,10,,,,3697.9,,,3697.9,1,3697.9,,,,Response,,,Display1,disc_10_1_tab20.png,10,tab20,1,baseline,discrimination,How many distinct classes do you see?,10,1
31,1789992217000,21/09/2026 12:03:37,1789992217000,1,21/09/2026 13:03:37,229051,38,synthetic-g1,,SYN-S1-S1_PRIV_002,S1PUB002,S1_PRIV_002,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1,SYNTHETIC,G1,G1,G1,7,Display 1,Screen 1,,,response,5,,,,4648.3,,,4648.3,1,4648.3,,,,Response,,,Display1,disc_5_3_tab20.png,5,tab20,3,baseline,discrimination,How many distinct classes do you see?,5,1
32,1789992224000,21/09/2026 12:03:44,1789992224000,1,21/09/2026 13:03:44,229051,38,synthetic-g1,,SYN-S1-S1_PRIV_002,S1PUB002,S1_PRIV_002,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1,SYNTHETIC,G1,G1,G1,8,Display 1,Screen 1,,,response,30,,,,4818.4,,,4818.4,1,4818.4,,,,Response,,,Display1,disc_30_1_tab20.png,30,tab20,1,baseline,discrimination,How many distinct classes do you see?,30,1
33,1789992231000,21/09/2026 12:03:51,1789992231000,1,21/09/2026 13:03:51,229051,38,synthetic-g1,,SYN-S1-S1_PRIV_002,S1PUB002,S1_PRIV_002,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1,SYNTHETIC,G1,G1,G1,9,Display 1,Screen 1,,,response,15,,,,5779.5,,,5779.5,0,5779.5,,,,Response,,,Display1,disc_20_2_tab20.png,20,tab20,2,baseline,discrimination,How many distinct classes do you see?,20,1
34,1789992238000,21/09/2026 12:03:58,1789992238000,1,21/09/2026 13:03:58,229051,38,synthetic-g1,,SYN-S1-S1_PRIV_002,S1PUB002,S1_PRIV_002,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1,SYNTHETIC,G1,G1,G1,10,Display 1,Screen 1,,,response,25,,,,14345.3,,,14345.3,0,14345.3,,,,Response,,,Display1,disc_30_2_tab20.png,30,tab20,2,baseline,discrimination,How many distinct classes do you see?,30,1
35,1789992245000,21/09/2026 12:04:05,1789992245000,1,21/09/2026 13:04:05,229051,38,synthetic-g1,,SYN-S1-S1_PRIV_002,S1PUB002,S1_PRIV_002,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1,SYNTHETIC,G1,G1,G1,11,Display 1,Screen 1,,,response,30,,,,4644.8,,,4644.8,1,4644.8,,,,Response,,,Display1,disc_30_3_tab20sa.png,30,tab20sa,3,sa,discrimination,How many distinct classes do you see?,30,1
36,1789992252000,21/09/2026 12:04:12,1789992252000,1,21/09/2026 13:04:12,229051,38,synthetic-g1,,SYN-S1-S1_PRIV_002,S1PUB002,S1_PRIV_002,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1,SYNTHETIC,G1,G1,G1,12,Display 1,Screen 1,,,response,10,,,,4177.4,,,4177.4,1,4177.4,,,,Response,,,Display1,disc_10_1_tab20sa.png,10,tab20sa,1,sa,discrimination,How many distinct classes do you see?,10,1
37,1789992259000,21/09/2026 12:04:19,1789992259000,1,21/09/2026 13:04:19,229051,38,synthetic-g1,,SYN-S1-S1_PRIV_002,S1PUB002,S1_PRIV_002,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1,SYNTHETIC,G1,G1,G1,13,Display 1,Screen 1,,,response,20,,,,12491.7,,,12491.7,1,12491.7,,,,Response,,,Display1,disc_20_3_tab20sa.png,20,tab20sa,3,sa,discrimination,How many distinct classes do you see?,20,1
38,1789992266000,21/09/2026 12:04:26,1789992266000,1,21/09/2026 13:04:26,229051,38,synthetic-g1,,SYN-S1-S1_PRIV_002,S1PUB002,S1_PRIV_002,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1,SYNTHETIC,G1,G1,G1,14,Display 1,Screen 1,,,response,10,,,,13459.9,,,13459.9,1,13459.9,,,,Response,,,Display1,disc_10_3_tab20.png,10,tab20,3,baseline,discrimination,How many distinct classes do you see?,10,1
39,1789992273000,21/09/2026 12:04:33,1789992273000,1,21/09/2026 13:04:33,229051,38,synthetic-g1,,SYN-S1-S1_PRIV_002,S1PUB002,S1_PRIV_002,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1,SYNTHETIC,G1,G1,G1,15,Display 1,Screen 1,,,response,30,,,,8876.1,,,8876.1,1,8876.1,,,,Response,,,Display1,disc_30_2_tab20sa.png,30,tab20sa,2,sa,discrimination,How many distinct classes do you see?,30,1
40,1789992280000,21/09/2026 12:04:40,1789992280000,1,21/09/2026 13:04:40,229051,38,synthetic-g1,,SYN-S1-S1_PRIV_002,S1PUB002,S1_PRIV_002,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1,SYNTHETIC,G1,G1,G1,16,Display 1,Screen 1,,,response,15,,,,4429.3,,,4429.3,0,4429.3,,,,Response,,,Display1,disc_20_1_tab20sa.png,20,tab20sa,1,sa,discrimination,How many distinct classes do you see?,20,1
41,1789992287000,21/09/2026 12:04:47,1789992287000,1,21/09/2026 13:04:47,229051,38,synthetic-g1,,SYN-S1-S1_PRIV_002,S1PUB002,S1_PRIV_002,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1,SYNTHETIC,G1,G1,G1,17,Display 1,Screen 1,,,response,5,,,,4973.3,,,4973.3,1,4973.3,,,,Response,,,Display1,disc_5_2_tab20sa.png,5,tab20sa,2,sa,discrimination,How many distinct classes do you see?,5,1
42,1789992294000,21/09/2026 12:04:54,1789992294000,1,21/09/2026 13:04:54,229051,38,synthetic-g1,,SYN-S1-S1_PRIV_002,S1PUB002,S1_PRIV_002,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1,SYNTHETIC,G1,G1,G1,18,Display 1,Screen 1,,,response,10,,,,2954.2,,,2954.2,1,2954.2,,,,Response,,,Display1,disc_10_2_tab20sa.png,10,tab20sa,2,sa,discrimination,How many distinct classes do you see?,10,1
43,1789992301000,21/09/2026 12:05:01,1789992301000,1,21/09/2026 13:05:01,229051,38,synthetic-g1,,SYN-S1-S1_PRIV_002,S1PUB002,S1_PRIV_002,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1,SYNTHETIC,G1,G1,G1,19,Display 1,Screen 1,,,response,10,,,,3064.0,,,3064.0,1,3064.0,,,,Response,,,Display1,disc_10_3_tab20sa.png,10,tab20sa,3,sa,discrimination,How many distinct classes do you see?,10,1
44,1789992308000,21/09/2026 12:05:08,1789992308000,1,21/09/2026 13:05:08,229051,38,synthetic-g1,,SYN-S1-S1_PRIV_002,S1PUB002,S1_PRIV_002,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1,SYNTHETIC,G1,G1,G1,20,Display 1,Screen 1,,,response,5,,,,3601.6,,,3601.6,1,3601.6,,,,Response,,,Display1,disc_5_2_tab20.png,5,tab20,2,baseline,discrimination,How many distinct classes do you see?,5,1
45,1789992315000,21/09/2026 12:05:15,1789992315000,1,21/09/2026 13:05:15,229051,38,synthetic-g1,,SYN-S1-S1_PRIV_002,S1PUB002,S1_PRIV_002,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1,SYNTHETIC,G1,G1,G1,21,Display 1,Screen 1,,,response,25,,,,8986.2,,,8986.2,0,8986.2,,,,Response,,,Display1,disc_20_3_tab20.png,20,tab20,3,baseline,discrimination,How many distinct classes do you see?,20,1
46,1789992322000,21/09/2026 12:05:22,1789992322000,1,21/09/2026 13:05:22,229051,38,synthetic-g1,,SYN-S1-S1_PRIV_002,S1PUB002,S1_PRIV_002,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1,SYNTHETIC,G1,G1,G1,22,Display 1,Screen 1,,,response,25,,,,11202.6,,,11202.6,0,11202.6,,,,Response,,,Display1,disc_30_3_tab20.png,30,tab20,3,baseline,discrimination,How many distinct classes do you see?,30,1
