Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-m119,Manipulation: Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Context,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: trial_number,Spreadsheet: image_left,Spreadsheet: image_right,Spreadsheet: correct_answer,Spreadsheet: left_option,Spreadsheet: right_option,Spreadsheet: confidence_rating
11,1789992077000,21/09/2026 12:01:17,1789992077000,1,21/09/2026 13:01:17,229051,38,synthetic-pairwise,,SYN-S1-S1_PRIV_001,BLINDED,S1_PRIV_001,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Pairwise Comparison Task2,SYNTHETIC,G1,Pairwise Comparison,Pairwise Comparison,11,Display 1,Screen 1,,,response,optimized.png,,,,4222.8,,,4222.8,,4222.8,,,,,,,Display 1,11,compare_5_easy_optimized.png,compare_5_easy_baseline.png,optimized.png,baseline.png,optimized.png,
12,1789992084000,21/09/2026 12:01:24,1789992084000,1,21/09/2026 13:01:24,229051,38,synthetic-pairwise,,SYN-S1-S1_PRIV_001,BLINDED,S1_PRIV_001,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Pairwise Comparison Task2,SYNTHETIC,G1,Pairwise Comparison,Pairwise Comparison,12,Display 1,Screen 1,,,response,baseline.png,,,,3029.7,,,3029.7,,3029.7,,,,,,,Display 1,12,compare_20_easy_baseline.png,compare_20_easy_optimized.png,optimized.png,optimized.png,baseline.png,
13,1789992091000,21/09/2026 12:01:31,1789992091000,1,21/09/2026 13:01:31,229051,38,synthetic-pairwise,,SYN-S1-S1_PRIV_002,BLINDED,S1_PRIV_002,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Pairwise Comparison Task2,SYNTHETIC,G1,Pairwise Comparison,Pairwise Comparison,1,Display 1,Screen 1,,,response,optimized.png,,,,4161.4,,,4161.4,,4161.4,,,,,,,Display 1,1,compare_30_easy_baseline.png,compare_30_easy_optimized.png,optimized.png,baseline.png,optimized.png,
14,1789992098000,21/09/2026 12:01:38,1789992098000,1,21/09/2026 13:01:38,229051,38,synthetic-pairwise,,SYN-S1-S1_PRIV_002,BLINDED,S1_PRIV_002,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Pairwise Comparison Task2,SYNTHETIC,G1,Pairwise Comparison,Pairwise Comparison,2,Display 1,Screen 1,,,response,optimized.png,,,,2857.4,,,2857.4,,2857.4,,,,,,,Display 1,2,compare_20_easy_optimized.png,compare_20_easy_baseline.png,optimized.png,baseline.png,optimized.png,
15,1789992105000,21/09/2026 12:01:45,1789992105000,1,21/09/2026 13:01:45,229051,38,synthetic-pairwise,,SYN-S1-S1_PRIV_002,BLINDED,S1_PRIV_002,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Pairwise Comparison Task2,SYNTHETIC,G1,Pairwise Comparison,Pairwise Comparison,3,Display 1,Screen 1,,,response,baseline.png,,,,5285.6,,,5285.6,,5285.6,,,,,,,Display 1,3,compare_30_hard_baseline.png,compare_30_hard_optimized.png,optimized.png,optimized.png,baseline.png,
16,1789992112000,21/09/2026 12:01:52,1789992112000,1,21/09/2026 13:01:52,229051,38,synthetic-pairwise,,SYN-S1-S1_PRIV_002,BLINDED,S1_PRIV_002,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Pairwise Comparison Task2,SYNTHETIC,G1,Pairwise Comparison,Pairwise Comparison,4,Display 1,Screen 1,,,response,optimized.png,,,,5073.4,,,5073.4,,5073.4,,,,,,,Display 1,4,compare_30_medium_optimized.png,compare_30_medium_baseline.png,optimized.png,optimized.png,baseline.png,
17,1789992119000,21/09/2026 12:01:59,1789992119000,1,21/09/2026 13:01:59,229051,38,synthetic-pairwise,,SYN-S1-S1_PRIV_002,BLINDED,S1_PRIV_002,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Pairwise Comparison Task2,SYNTHETIC,G1,Pairwise Comparison,Pairwise Comparison,5,Display 1,Screen 1,,,response,optimized.png,,,,3101.0,,,3101.0,,3101.0,,,,,,,Display 1,5,compare_10_hard_optimized.png,compare_10_hard_baseline.png,optimized.png,baseline.png,optimized.png,
18,1789992126000,21/09/2026 12:02:06,1789992126000,1,21/09/2026 13:02:06,229051,38,synthetic-pairwise,,SYN-S1-S1_PRIV_002,BLINDED,S1_PRIV_002,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Pairwise Comparison Task2,SYNTHETIC,G1,Pairwise Comparison,Pairwise Comparison,6,Display 1,Screen 1,,,response,baseline.png,,,,1362.0,,,1362.0,,1362.0,,,,,,,Display 1,6,compare_5_easy_baseline.png,compare_5_easy_optimized.png,optimized.png,optimized.png,baseline.png,
19,1789992133000,21/09/2026 12:02:13,1789992133000,1,21/09/2026 13:02:13,229051,38,synthetic-pairwise,,SYN-S1-S1_PRIV_002,BLINDED,S1_PRIV_002,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Pairwise Comparison Task2,SYNTHETIC,G1,Pairwise Comparison,Pairwise Comparison,7,Display 1,Screen 1,,,response,optimized.png,,,,2716.4,,,2716.4,,2716.4,,,,,,,Display 1,7,compare_5_medium_optimized.png,compare_5_medium_baseline.png,optimized.png,optimized.png,baseline.png,
20,1789992140000,21/09/2026 12:02:20,1789992140000,1,21/09/2026 13:02:20,229051,38,synthetic-pairwise,,SYN-S1-S1_PRIV_002,BLINDED,S1_PRIV_002,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Pairwise Comparison Task2,SYNTHETIC,G1,Pairwise Comparison,Pairwise Comparison,8,Display 1,Screen 1,,,response,optimized.png,,,,8617.1,,,8617.1,,8617.1,,,,,,,Display 1,8,compare_5_hard_optimized.png,compare_5_hard_baseline.png,optimized.png,optimized.png,baseline.png,
21,1789992147000,21/09/2026 12:02:27,1789992147000,1,21/09/2026 13:02:27,229051,38,synthetic-pairwise,,SYN-S1-S1_PRIV_002,BLINDED,S1_PRIV_002,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Pairwise Comparison Task2,SYNTHETIC,G1,Pairwise Comparison,Pairwise Comparison,9,Display 1,Screen 1,,,response,optimized.png,,,,4195.9,,,4195.9,,4195.9,,,,,,,Display 1,9,compare_20_hard_baseline.png,compare_20_hard_optimized.png,optimized.png,optimized.png,baseline.png,
22,1789992154000,21/09/2026 12:02:34,1789992154000,1,21/09/2026 13:02:34,229051,38,synthetic-pairwise,,SYN-S1-S1_PRIV_002,BLINDED,S1_PRIV_002,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Pairwise Comparison Task2,SYNTHETIC,G1,Pairwise Comparison,Pairwise Comparison,10,Display 1,Screen 1,,,response,baseline.png,,,,2867.8,,,2867.8,,2867.8,,,,,,,Display 1,10,compare_10_medium_baseline.png,compare_10_medium_optimized.png,optimized.png,optimized.png,baseline.png,
23,1789992161000,21/09/2026 12:02:41,1789992161000,1,21/09/2026 13:02:41,229051,38,synthetic-pairwise,,SYN-S1-S1_PRIV_002,BLINDED,S1_PRIV_002,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Pairwise Comparison Task2,SYNTHETIC,G1,Pairwise Comparison,Pairwise Comparison,11,Display 1,Screen 1,,,response,baseline.png,,,,3835.5,,,3835.5,,3835.5,,,,,,,Display 1,11,compare_20_medium_baseline.png,compare_20_medium_optimized.png,optimized.png,optimized.png,baseline.png,
24,1789992168000,21/09/2026 12:02:48,1789992168000,1,21/09/2026 13:02:48,229051,38,synthetic-pairwise,,SYN-S1-S1_PRIV_002,BLINDED,S1_PRIV_002,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Pairwise Comparison Task2,SYNTHETIC,G1,Pairwise Comparison,Pairwise Comparison,12,Display 1,Screen 1,,,response,optimized.png,,,,2951.3,,,2951.3,,2951.3,,,,,,,Display 1,12,compare_10_easy_optimized.png,compare_10_easy_baseline.png,optimized.png,optimized.png,baseline.png,
25,1789992175000,21/09/2026 12:02:55,1789992175000,1,21/09/2026 13:02:55,229051,38,synthetic-pairwise,,SYN-S1-S1_PRIV_003,BLINDED,S1_PRIV_003,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Pairwise Comparison Task2,SYNTHETIC,G1,Pairwise Comparison,Pairwise Comparison,1,Display 1,Screen 1,,,response,baseline.png,,,,4964.6,,,4964.6,,4964.6,,,,,,,Display 1,1,compare_30_hard_optimized.png,compare_30_hard_baseline.png,optimized.png,optimized.png,baseline.png,
26,1789992182000,21/09/2026 12:03:02,1789992182000,1,21/09/2026 13:03:02,229051,38,synthetic-pairwise,,SYN-S1-S1_PRIV_003,BLINDED,S1_PRIV_003,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Pairwise Comparison Task2,SYNTHETIC,G1,Pairwise Comparison,Pairwise Comparison,2,Display 1,Screen 1,,,response,optimized.png,,,,5417.2,,,5417.2,,5417.2,,,,,,,Display 1,2,compare_20_easy_baseline.png,compare_20_easy_optimized.png,optimized.png,optimized.png,baseline.png,
27,1789992189000,21/09/2026 12:03:09,1789992189000,1,21/09/2026 13:03:09,229051,38,synthetic-pairwise,,SYN-S1-S1_PRIV_003,BLINDED,S1_PRIV_003,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Pairwise Comparison Task2,SYNTHETIC,G1,Pairwise Comparison,Pairwise Comparison,3,Display 1,Screen 1,,,response,baseline.png,,,,3685.2,,,3685.2,,3685.2,,,,,,,Display 1,3,compare_30_medium_baseline.png,compare_30_medium_optimized.png,optimized.png,optimized.png,baseline.png,
28,1789992196000,21/09/2026 12:03:16,1789992196000,1,21/09/2026 13:03:16,229051,38,synthetic-pairwise,,SYN-S1-S1_PRIV_003,BLINDED,S1_PRIV_003,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Pairwise Comparison Task2,SYNTHETIC,G1,Pairwise Comparison,Pairwise Comparison,4,Display 1,Screen 1,,,response,optimized.png,,,,2677.8,,,2677.8,,2677.8,,,,,,,Display 1,4,compare_20_medium_baseline.png,compare_20_medium_optimized.png,optimized.png,baseline.png,optimized.png,
29,1789992203000,21/09/2026 12:03:23,1789992203000,1,21/09/2026 13:03:23,229051,38,synthetic-pairwise,,SYN-S1-S1_PRIV_003,BLINDED,S1_PRIV_003,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Pairwise Comparison Task2,SYNTHETIC,G1,Pairwise Comparison,Pairwise Comparison,5,Display 1,Screen 1,,,response,baseline.png,,,,3272.6,,,3272.6,,3272.6,,,,,,,Display 1,5,compare_30_easy_baseline.png,compare_30_easy_optimized.png,optimized.png,baseline.png,optimized.png,
30,1789992210000,21/09/2026 12:03:30,1789992210000,1,21/09/2026 13:03:30,229051,38,synthetic-pairwise,,SYN-S1-S1_PRIV_003,BLINDED,S1_PRIV_003,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Pairwise Comparison Task2,SYNTHETIC,G1,Pairwise Comparison,Pairwise Comparison,6,Display 1,Screen 1,,,response,optimized.png,,,,4091.8,,,4091.8,,4091.8,,,,,,,Display 1,6,compare_10_hard_optimized.png,compare_10_hard_baseline.png,optimized.png,baseline.png,optimized.png,
31,1789992217000,21/09/2026 12:03:37,1789992217000,1,21/09/2026 13:03:37,229051,38,synthetic-pairwise,,SYN-S1-S1_PRIV_003,BLINDED,S1_PRIV_003,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Pairwise Comparison Task2,SYNTHETIC,G1,Pairwise Comparison,Pairwise Comparison,7,Display 1,Screen 1,,,response,optimized.png,,,,7097.3,,,7097.3,,7097.3,,,,,,,Display 1,7,compare_10_medium_optimized.png,compare_10_medium_baseline.png,optimized.png,optimized.png,baseline.png,
32,1789992224000,21/09/2026 12:03:44,1789992224000,1,21/09/2026 13:03:44,229051,38,synthetic-pairwise,,SYN-S1-S1_PRIV_003,BLINDED,S1_PRIV_003,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Pairwise Comparison Task2,SYNTHETIC,G1,Pairwise Comparison,Pairwise Comparison,8,Display 1,Screen 1,,,response,baseline.png,,,,4648.2,,,4648.2,,4648.2,,,,,,,Display 1,8,compare_5_easy_baseline.png,compare_5_easy_optimized.png,optimized.png,baseline.png,optimized.png,
33,1789992231000,21/09/2026 12:03:51,1789992231000,1,21/09/2026 13:03:51,229051,38,synthetic-pairwise,,SYN-S1-S1_PRIV_003,BLINDED,S1_PRIV_003,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Pairwise Comparison Task2,SYNTHETIC,G1,Pairwise Comparison,Pairwise Comparison,9,Display 1,Screen 1,,,response,baseline.png,,,,6438.2,,,6438.2,,6438.2,,,,,,,Display 1,9,compare_5_medium_baseline.png,compare_5_medium_optimized.png,optimized.png,baseline.png,optimized.png,
34,1789992238000,21/09/2026 12:03:58,1789992238000,1,21/09/2026 13:03:58,229051,38,synthetic-pairwise,,SYN-S1-S1_PRIV_003,BLINDED,S1_PRIV_003,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Pairwise Comparison Task2,SYNTHETIC,G1,Pairwise Comparison,Pairwise Comparison,10,Display 1,Screen 1,,,response,baseline.png,,,,5646.6,,,5646.6,,5646.6,,,,,,,Display 1,10,compare_10_easy_optimized.png,compare_10_easy_baseline.png,optimized.png,optimized.png,baseline.png,
35,1789992245000,21/09/2026 12:04:05,1789992245000,1,21/09/2026 13:04:05,229051,38,synthetic-pairwise,,SYN-S1-S1_PRIV_003,BLINDED,S1_PRIV_003,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Pairwise Comparison Task2,SYNTHETIC,G1,Pairwise Comparison,Pairwise Comparison,11,Display 1,Screen 1,,,response,baseline.png,,,,4226.9,,,4226.9,,4226.9,,,,,,,Display 1,11,compare_5_hard_optimized.png,compare_5_hard_baseline.png,optimized.png,baseline.png,optimized.png,
36,1789992252000,21/09/2026 12:04:12,1789992252000,1,21/09/2026 13:04:12,229051,38,synthetic-pairwise,,SYN-S1-S1_PRIV_003,BLINDED,S1_PRIV_003,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Pairwise Comparison Task2,SYNTHETIC,G1,Pairwise Comparison,Pairwise Comparison,12,Display 1,Screen 1,,,response,optimized.png,,,,4515.4,,,4515.4,,4515.4,,,,,,,Display 1,12,compare_20_hard_baseline.png,compare_20_hard_optimized.png,optimized.png,optimized.png,baseline.png,
37,1789992259000,21/09/2026 12:04:19,1789992259000,1,21/09/2026 13:04:19,229051,38,synthetic-pairwise,,SYN-S1-S1_PRIV_004,BLINDED,S1_PRIV_004,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Pairwise Comparison Task2,SYNTHETIC,G1,Pairwise Comparison,Pairwise Comparison,1,Display 1,Screen 1,,,response,baseline.png,,,,2438.5,,,2438.5,,2438.5,,,,,,,Display 1,1,compare_5_hard_baseline.png,compare_5_hard_optimized.png,optimized.png,optimized.png,baseline.png,
38,1789992266000,21/09/2026 12:04:26,1789992266000,1,21/09/2026 13:04:26,229051,38,synthetic-pairwise,,SYN-S1-S1_PRIV_004,BLINDED,S1_PRIV_004,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Pairwise Comparison Task2,SYNTHETIC,G1,Pairwise Comparison,Pairwise Comparison,2,Display 1,Screen 1,,,response,optimized.png,,,,4349.4,,,4349.4,,4349.4,,,,,,,Display 1,2,compare_20_easy_optimized.png,compare_20_easy_baseline.png,optimized.png,optimized.png,baseline.png,
39,1789992273000,21/09/2026 12:04:33,1789992273000,1,21/09/2026 13:04:33,229051,38,synthetic-pairwise,,SYN-S1-S1_PRIV_004,BLINDED,S1_PRIV_004,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Pairwise Comparison Task2,SYNTHETIC,G1,Pairwise Comparison,Pairwise Comparison,3,Display 1,Screen 1,,,response,optimized.png,,,,3517.6,,,3517.6,,3517.6,,,,,,,Display 1,3,compare_10_hard_optimized.png,compare_10_hard_baseline.png,optimized.png,baseline.png,optimized.png,
40,1789992280000,21/09/2026 12:04:40,1789992280000,1,21/09/2026 13:04:40,229051,38,synthetic-pairwise,,SYN-S1-S1_PRIV_004,BLINDED,S1_PRIV_004,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Pairwise Comparison Task2,SYNTHETIC,G1,Pairwise Comparison,Pairwise Comparison,4,Display 1,Screen 1,,,response,baseline.png,,,,7245.4,,,7245.4,,7245.4,,,,,,,Display 1,4,compare_10_medium_optimized.png,compare_10_medium_baseline.png,optimized.png,baseline.png,optimized.png,
41,1789992287000,21/09/2026 12:04:47,1789992287000,1,21/09/2026 13:04:47,229051,38,synthetic-pairwise,,SYN-S1-S1_PRIV_004,BLINDED,S1_PRIV_004,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Pairwise Comparison Task2,SYNTHETIC,G1,Pairwise Comparison,Pairwise Comparison,5,Display 1,Screen 1,,,response,optimized.png,,,,6044.1,,,6044.1,,6044.1,,,,,,,Display 1,5,compare_20_hard_optimized.png,compare_20_hard_baseline.png,optimized.png,optimized.png,baseline.png,
42,1789992294000,21/09/2026 12:04:54,1789992294000,1,21/09/2026 13:04:54,229051,38,synthetic-pairwise,,SYN-S1-S1_PRIV_004,BLINDED,S1_PRIV_004,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Pairwise Comparison Task2,SYNTHETIC,G1,Pairwise Comparison,Pairwise Comparison,6,Display 1,Screen 1,,,response,baseline.png,,,,2523.2,,,2523.2,,2523.2,,,,,,,Display 1,6,compare_5_medium_baseline.png,compare_5_medium_optimized.png,optimized.png,baseline.png,optimized.png,
43,1789992301000,21/09/2026 12:05:01,1789992301000,1,21/09/2026 13:05:01,229051,38,synthetic-pairwise,,SYN-S1-S1_PRIV_004,BLINDED,S1_PRIV_004,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Pairwise Comparison Task2,SYNTHETIC,G1,Pairwise Comparison,Pairwise Comparison,7,Display 1,Screen 1,,,response,optimized.png,,,,5921.5,,,5921.5,,5921.5,,,,,,,Display 1,7,compare_30_easy_optimized.png,compare_30_easy_baseline.png,optimized.png,optimized.png,baseline.png,
